n_features,features,mean_accuracy,mean_auc,mean_f1,mean_acc_0,mean_acc_1,mean_time,std_accuracy,std_auc,std_f1,std_acc_0,std_acc_1,std_time
3,"Feature63, Feature2, Feature46",0.6989655172413792,0.7820224794125723,0.7803296385541064,0.4595992895992896,0.8438108808116548,2.308658480644226,0.09935111179008126,0.09405087522362615,0.07611290923883134,0.22312577974700948,0.08990101677002392,1.0926217896516164
4,"Feature63, Feature2, Feature46, Feature61",0.7020689655172413,0.785594461810406,0.7830052736201646,0.4609881784881785,0.8467042885734836,1.955428385734558,0.0852495501297879,0.09694329513468038,0.06492755840207613,0.23460212208013614,0.06371390381965264,0.04003442382939298
5,"Feature63, Feature2, Feature46, Feature61, Feature40",0.7426436781609196,0.8100986210498595,0.8093031942422186,0.5468428793428793,0.8635098441290392,1.9603831052780152,0.07942927947117538,0.08293175621433406,0.06329313154240328,0.2076147801177008,0.07392150671813541,0.03526515656076702
6,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56",0.7666666666666667,0.8302411265205383,0.8269284632915704,0.5828776778776779,0.871273002023776,2.020406651496887,0.0735452564277995,0.06872854569610712,0.05280458672313642,0.19211878488270562,0.06256512051020403,0.11375218724173998
7,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42",0.7528735632183908,0.8359351629908905,0.8165395325568625,0.5559332334332334,0.8651274911878627,1.983880305290222,0.06484429555587905,0.05298142980455521,0.04818346109841856,0.17000563280396264,0.07251525341682839,0.03461281876907544
8,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39",0.7532183908045976,0.8324949702287163,0.8149061236866114,0.5938178488178488,0.8460115194403119,1.9969488382339478,0.06719774593732053,0.05951417999690397,0.045288267457366777,0.17948941163353282,0.06315779940018791,0.017603290715949002
9,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43",0.7801149425287356,0.8368568784157018,0.8327401326423715,0.6396511821511822,0.8584865852242013,2.0217413187026976,0.05779460764874659,0.05143554753766334,0.04263378926824974,0.1726767861565536,0.05569541936250106,0.0348541181511769
10,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48",0.7733333333333333,0.8352273528844736,0.8286370157819224,0.6202067377067377,0.8581597878385804,2.0200565338134764,0.061081545593158884,0.05689678281456893,0.04434152872311631,0.17008441239217367,0.04873325027557708,0.0034478019586747515
11,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5",0.776551724137931,0.8449089022719052,0.8315618262246669,0.6236255411255411,0.8637153433941359,2.0408899784088135,0.058241278364085464,0.049628987334934246,0.04211454966901276,0.16792070928699737,0.041947276611000416,0.03423174061405215
12,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22",0.7868965517241379,0.8467634556133007,0.8395270317508482,0.6452164502164501,0.8695976963353124,2.0727545976638795,0.06262458846539248,0.05029058893110578,0.04300760903422831,0.17366967743746112,0.03997770671227028,0.033338696701198364
13,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44",0.7935632183908046,0.8406856822514717,0.8401625410256385,0.6871187146187147,0.8570625985641465,2.0911463499069214,0.059933904670501116,0.05199851172654264,0.04990277640151443,0.16222417987820995,0.04835251755012361,0.005678674968517075
14,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27",0.7631034482758621,0.842125844428476,0.8175175697413861,0.6429087579087579,0.8331847220546912,2.073038339614868,0.050729777953891705,0.05529305639805832,0.03946118058681864,0.1464895807979159,0.05710231445173083,0.03238958207019582
15,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49",0.7766666666666666,0.8477758591311224,0.8278193075736118,0.6640101565101565,0.8421996837012318,2.07311110496521,0.0718791612327733,0.05585774987303219,0.054926322562517116,0.18707877311672408,0.05895274722497242,0.0025443458005572467
16,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49, Feature32",0.7628735632183907,0.8384816540242237,0.8188042092517099,0.6287420912420912,0.8388926192486563,2.1024436473846437,0.04472741534206284,0.0585535156083084,0.029216725950239806,0.14648948917766705,0.06217198691995683,0.03600875521071184
17,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49, Feature32, Feature60",0.7665517241379309,0.8363918942254855,0.8220477608906401,0.6304087579087578,0.8446570302762254,2.101467227935791,0.05604305858336532,0.06023458701155447,0.039631434280173884,0.15018332176175064,0.06637938272589636,0.010077185153788335
18,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49, Feature32, Feature60, Feature62",0.7564367816091954,0.832245239567221,0.815090398096691,0.5918831168831169,0.8489100871608611,2.1277504444122313,0.058189648077195545,0.056804305614786096,0.04705726350536265,0.13756030646672945,0.08138300761046016,0.035400221725201735
19,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49, Feature32, Feature60, Feature62, Feature1",0.7566666666666666,0.8280610230269673,0.8140630555375138,0.6143831168831169,0.8384822796742302,2.1446257829666138,0.07480286329930919,0.06283678675695417,0.05847767075088152,0.15618784688146656,0.07827223880595995,0.03576685408658581
20,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49, Feature32, Feature60, Feature62, Feature1, Feature17",0.7566666666666666,0.8310371063691498,0.8175811718136744,0.5779845154845155,0.854115586425958,2.245859217643738,0.06516552093128296,0.06094852915993186,0.048319270934380154,0.16747969682320918,0.06680303863672786,0.0029334078709143097
21,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49, Feature32, Feature60, Feature62, Feature1, Feature17, Feature47",0.7466666666666667,0.8267089006910989,0.8067379907552855,0.5870754245754245,0.8321453812785082,2.2572532415390016,0.06999839569344782,0.05755026708953059,0.05555536073896382,0.15778469943684262,0.07374796523827558,0.03349387741011816
22,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature48, Feature5, Feature22, Feature44, Feature27, Feature49, Feature32, Feature60, Feature62, Feature1, Feature17, Feature47, Feature37",0.743103448275862,0.8298978511741669,0.8053035087163496,0.5827922077922078,0.8324377789393269,2.251390075683594,0.06876647522360219,0.06245958550340669,0.052062174029601116,0.16035580386203854,0.05991731493573089,0.0039962762031517315
